"doi_prefix","issn"
"10.32553","2589-8698"
"10.37358","0034-7752"
"10.3828","0301-7257"
"10.53597","1987-0876"
"10.3379","0285-0192"
"10.37899","2721-0847"
"10.3757","0385-5716"
"10.1577","0033-0779"
"10.13181","2252-8083"
"10.37155","2717-5197"
"10.1344","2696-2691"
"10.29076","2602-8360"
"10.22219","2337-7615"
"10.19172","1229-4403"
"10.18109","1738-2319"
"10.1144","0370-291X"
"10.14393","1981-3163"
"10.2114","0287-8429"
"10.14409","2362-3322"
"10.24109","2176-6681"
"10.2752","0892-7936"
"10.17001","1226-6019"
"10.53914","2071-2243"
"10.7164","0021-8820"
"10.32736","2581-0588"
"10.55732","3025-5678"
"10.36622","1810-4894"
"10.4093","2233-7431"
"10.1298","2309-5288"
"10.1378","0012-3692"
"10.18844","2547-8818"
"10.30984","2528-0341"
"10.26717","2574-1241"
"10.3991","2626-8493"
"10.4037","1062-3264"
"10.56127","2828-688X"
"10.1423","2717-7092"
"10.12845","1895-8443"
"10.5332","1340-8682"
"10.4134","1015-8634"
"10.22564","1809-4511"
"10.17803","1729-5920"
"10.1302","0301-620X"
"10.1243","0954-4070"
"10.11591","2722-2578"
"10.4327","1883-8863"
"10.33682","2518-6833"
"10.3821","1715-1635"
"10.24193","1221-8103"
"10.51255","2311-603X"
"10.32417","1997-4868"
"10.47127","2026-6480"
"10.7763","2010-3689"
"10.14257","2005-4238"
"10.22487","2407-7607"
"10.21638","2226-5260"
"10.35858","1227-4879"
"10.2232","0716-2677"
"10.1517","1472-8222"
"10.3176","0208-189X"
"10.4286","0019-1736"
"10.3657","1995-2198"
"10.3813","1610-1928"
"10.37843","2665-0266"
"10.4203","1759-3433"
"10.20964","1452-3981"
"10.21533","2233-1859"
"10.54945","2249-8095"
"10.46669","1738-3250"
"10.37811","2707-2215"
"10.14731","1598-4818"
"10.15722","1738-3110"
"10.19026","2042-4868"
"10.18276","1230-0780"
"10.30535","1067-3040"
"10.1209","0295-5075"
"10.3139","2195-8599"
"10.33667","2078-5631"
"10.26634","0973-8827"
"10.5012","1017-2548"
"10.31276","2734-9748"
"10.18002","2444-0280"
"10.32649","2617-6211"
"10.24866","2311-2271"
"10.12731","2077-1770"
"10.11648","2578-7810"
"10.21527","2176-6622"
"10.17986","2149-4533"
"10.1889","1071-0922"
"10.35854","1998-1627"
"10.56522","0718-6894"
"10.507","1076-7975"
"10.17306","1899-5772"
"10.15406","2475-5559"
"10.56358","2807-2669"
"10.18647","0022-2097"
"10.1422","0256-5250"
"10.2113","1554-0774"
"10.1631","1673-1581"
"10.51452","2710-3757"
"10.31212","0354-6497"
"10.11124","2202-4433"
"10.12775","2392-1552"
"10.7309","1839-7808"
"10.3174","0195-6108"
"10.5518","2684-7019"
"10.1305","0029-4527"
"10.59134","2580-5495"
"10.3989","1988-4281"
"10.32679","2580-8087"
"10.2132","1997-6933"
"10.5759","1344-9486"
"10.17004","1225-9624"
"10.22282","2146-9598"
"10.4014","1017-7825"
